epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.797,2.71196,5.11008,2.58192,0.09812,0.13333,0.05388,0.02395,1.61528,8.71194,1.73083,0.00011669,0.00011669,0.00011669
2,289.183,1.69541,2.91384,1.80995,0.44539,0.5,0.42591,0.24175,1.37208,8.5716,1.4274,0.000245099,0.000245099,0.000245099
3,422.442,1.4437,2.21658,1.52708,0.6541,0.76667,0.81637,0.37869,1.6966,4.30469,1.80358,0.000368227,0.000368227,0.000368227
4,554.157,1.4873,2.28751,1.63166,0.29987,0.78952,0.50758,0.20448,1.89404,5.30144,2.12972,0.000486074,0.000486074,0.000486074
5,685.852,1.3615,2.0375,1.50465,0.8719,0.7,0.8045,0.42978,1.61884,4.08974,1.75949,0.00059864,0.00059864,0.00059864
6,816.503,1.39463,1.67446,1.48372,0.79966,0.69291,0.8034,0.50084,1.2916,2.69727,1.47725,0.000705924,0.000705924,0.000705924
7,946.567,1.39557,1.36881,1.52006,0.92989,1,0.99071,0.68809,1.14336,2.78999,1.34442,0.000807928,0.000807928,0.000807928
8,1077.24,1.36082,1.37739,1.35133,0.68119,0.95543,0.92563,0.59926,1.18844,3.53662,1.32935,0.000904651,0.000904651,0.000904651
9,1207.47,1.23313,1.33208,1.32855,0.91328,0.68333,0.76979,0.40343,1.68259,1.8218,1.50719,0.000996093,0.000996093,0.000996093
10,1337.23,1.34921,1.33302,1.38869,0.74426,0.75001,0.86828,0.56105,1.32525,2.08417,1.34818,0.00108225,0.00108225,0.00108225
11,1467.21,1.29706,1.32186,1.30889,0.89997,0.95,0.97532,0.59525,1.36674,1.19557,1.32258,0.00116313,0.00116313,0.00116313
12,1596.85,1.23277,1.10985,1.27586,0.9195,0.71392,0.89954,0.50888,1.53813,1.44945,1.50099,0.00123873,0.00123873,0.00123873
13,1727.61,1.30788,1.19358,1.29771,0.84845,0.9067,0.98569,0.67795,1.16877,2.2243,1.35267,0.00127092,0.00127092,0.00127092
14,1856.62,1.27042,1.27366,1.32457,0.93008,0.43333,0.65866,0.40592,1.31549,2.54868,1.4715,0.00123791,0.00123791,0.00123791
15,1986.13,1.2797,1.22083,1.25031,0.4411,0.9,0.90154,0.48718,1.41911,3.84103,1.4616,0.00120491,0.00120491,0.00120491
16,2115.7,1.12904,1.01189,1.18593,0.75938,0.99064,0.96473,0.62595,1.13334,3.23866,1.13476,0.0011719,0.0011719,0.0011719
17,2244.97,1.11802,0.95026,1.22153,0.87247,1,0.995,0.61747,1.26343,2.71749,1.24519,0.00113889,0.00113889,0.00113889
18,2374.88,1.136,1.04927,1.2316,0.92416,1,0.995,0.66099,1.21388,1.67129,1.25644,0.00110589,0.00110589,0.00110589
19,2504.41,1.12123,0.91171,1.1843,0.91022,0.88932,0.98822,0.64505,1.24193,1.88397,1.35475,0.00107288,0.00107288,0.00107288
20,2633.49,1.19485,0.9322,1.2253,0.80833,0.89337,0.95409,0.63608,1.11824,2.2357,1.18884,0.00103987,0.00103987,0.00103987
21,2763.29,1.17911,0.97818,1.21251,0.72287,0.93356,0.93725,0.63895,1.09169,2.87636,1.15919,0.00100687,0.00100687,0.00100687
22,2894.48,1.18498,1.04753,1.28938,0.72083,0.96667,0.83763,0.37818,1.75731,2.79974,1.94406,0.000973861,0.000973861,0.000973861
23,3026.64,1.13587,0.95904,1.17499,0.75057,0.96667,0.92511,0.47409,1.56191,1.74182,1.55976,0.000940855,0.000940855,0.000940855
24,3158.19,1.19939,0.96677,1.24602,0.94516,0.98085,0.96573,0.67526,1.09276,1.14138,1.13752,0.000907848,0.000907848,0.000907848
25,3287.22,1.15312,0.86984,1.23749,0.97624,1,0.99452,0.67472,1.12236,1.25603,1.1949,0.000874842,0.000874842,0.000874842
26,3417.82,1.0323,0.83498,1.15969,0.97502,1,0.995,0.74269,0.98185,1.12018,1.08561,0.000841835,0.000841835,0.000841835
27,3548.36,0.99864,0.79302,1.11896,0.98929,1,0.995,0.71954,1.01462,0.96208,1.13232,0.000808828,0.000808828,0.000808828
28,3677.36,1.07292,0.8246,1.18104,0.97312,1,0.98919,0.70996,1.0876,0.82667,1.14929,0.000775822,0.000775822,0.000775822
29,3806.41,1.08494,0.86763,1.1935,0.96106,0.99949,0.98856,0.69291,1.16403,0.77249,1.15883,0.000742815,0.000742815,0.000742815
30,3939.45,1.05298,0.73967,1.16475,0.94457,0.99482,0.98227,0.70697,1.07637,0.74641,1.11307,0.000709809,0.000709809,0.000709809
31,4069.02,1.06737,0.78569,1.17216,0.93048,0.97094,0.9849,0.71449,0.94972,0.71124,1.07308,0.000676802,0.000676802,0.000676802
32,4198.04,1.03691,0.81107,1.13802,0.98688,1,0.995,0.7693,0.90981,0.64678,1.04231,0.000643795,0.000643795,0.000643795
